Pseudomonas,Microcystis,Candidatus_Planktophila,Paenibacillus,Candidatus_Nanopelagicus,Limnohabitans,Streptomyces,Polynucleobacter,Synechococcus,Candidatus_Fonsibacter,Flavobacterium,Acidovorax,Candidatus_Methylopumilus,Halorubrum,Marinobacter,Hydrogenophaga,Acinetobacter,Salmonella,Variovorax,Bacillus,Cyanobium,Burkholderia,Rhodoferax,Mycolicibacterium,Dolichospermum,Comamonas,Anabaena,Cupriavidus,Starkeya,Bradyrhizobium,Escherichia,Sphingomonas,Mycobacterium,Diaphorobacter,Aeromonas,Psychroflexus,Shewanella
0.073298929,0.002828828,6.61E-05,0.055654665,2.16E-05,0.000124172,0.039151776,0.000308865,0.007547194,6.43E-06,0.00201284,0.003001347,5.48E-05,0.000633208,0.000936508,0.002323618,0.001167809,0.002369878,0.005468094,0.003975768,0.000786597,0.008284922,0.001412501,0.005986,0.012308168,0.001712323,0.021556555,0.005947565,0.02673787,0.013335457,0.003535427,0.012309385,0.005717482,0.001144853,0.002716656,2.89E-05,0.001344502
0.085594317,0.000129737,2.31E-05,0.038460259,1.11E-05,9.11E-05,0.055501041,0.00015131,0.001657367,2.13E-05,0.001880586,0.004037425,3.01E-05,0.00093917,0.000965237,0.003489564,0.00109018,0.003318779,0.008109907,0.002478934,0.000520745,0.012487704,0.001927328,0.00980952,0.000618722,0.003296307,0.003102001,0.00906181,0.034143585,0.02314456,0.003857951,0.014055484,0.007675603,0.001352051,0.003266494,3.39E-05,0.000920443
0.086783607,4.68E-05,3.43E-05,0.020137236,1.09E-05,8.53E-05,0.048582698,0.000118911,0.001015648,1.33E-05,0.000667142,0.005168295,1.97E-05,0.000600529,0.00083328,0.003634961,0.00083621,0.008320624,0.008749155,0.001811169,0.000407905,0.011209207,0.00220273,0.007830891,4.36E-05,0.002318711,7.89E-05,0.009415283,0.037762798,0.019667227,0.002509758,0.021684433,0.006503594,0.00135029,0.00281825,1.13E-05,0.000628257
0.089968232,1.39E-05,6.71E-05,0.039711131,2.43E-06,2.23E-05,0.037104465,0.000194787,0.001154112,7.58E-05,0.003951739,0.00409609,3.93E-05,0.000328703,0.001082459,0.001699168,0.001996913,0.007946609,0.003921477,0.00689476,0.000358617,0.009972045,0.000963847,0.004879063,3.51E-05,0.001702994,6.85E-05,0.008249572,0.025789435,0.014512666,0.003355204,0.012247573,0.004533665,0.000973239,0.003245984,0.000100176,0.00142577
0.096974197,0.000420544,0.000152064,0.076783053,6.24E-05,0.000169889,0.056379686,0.000442825,0.003994336,2.62E-05,0.00173955,0.005216979,0.000134797,0.001029916,0.00142818,0.004310162,0.002333325,0.005952792,0.00800594,0.008299486,0.000846659,0.012609091,0.002256457,0.020340424,0.000416645,0.002877526,0.00040829,0.010408892,0.009461414,0.010703551,0.006294798,0.008024878,0.007936313,0.002849676,0.003982639,3.68E-05,0.001565762
0.104397794,0.000507111,0.000191778,0.078154781,5.48E-05,0.000223473,0.053116694,0.000464673,0.003822137,2.36E-05,0.0023282,0.006949145,0.000170828,0.000921288,0.001549805,0.006324388,0.002774071,0.006332983,0.011088764,0.010280286,0.000832114,0.012991506,0.003183413,0.007529852,0.000387317,0.003426762,0.000634964,0.011413766,0.006691829,0.008875523,0.00473483,0.006769185,0.007356875,0.005258057,0.003949989,5.80E-05,0.001855469
0.096860425,0.000549849,0.000114751,0.06082334,2.74E-05,0.00014257,0.062114725,0.000244281,0.003741149,1.09E-05,0.001419176,0.006011397,6.35E-05,0.00104667,0.00116968,0.004785211,0.001468728,0.00561281,0.011217797,0.005616722,0.000728496,0.014891139,0.002707954,0.009484793,0.000745883,0.002612763,0.000981036,0.011411222,0.026244116,0.018367578,0.005476326,0.011706793,0.008245133,0.002249384,0.004191895,4.04E-05,0.001148816
0.079576671,0.001028786,0.000110987,0.053915004,4.12E-05,0.000133638,0.052969572,0.000262746,0.007183835,6.80E-06,0.002292231,0.004678689,6.93E-05,0.00083671,0.001002964,0.004390121,0.001677044,0.006341236,0.008019639,0.006740791,0.000933654,0.011583017,0.002112386,0.008169132,0.001814306,0.002484308,0.003393952,0.008914334,0.019317712,0.013551799,0.00572922,0.010114811,0.00720558,0.00184964,0.004662381,5.48E-05,0.001198665
0.084550918,0.000182663,0.000388087,0.046889603,0.000107089,0.002500094,0.03162905,0.001326497,0.002407887,0.000157569,0.005621127,0.004147857,0.000808854,0.000418141,0.002774964,0.004687968,0.008726694,0.005004273,0.004310386,0.005738136,0.000605765,0.006804353,0.001718085,0.006291086,0.000108839,0.002294671,0.000279539,0.004733196,0.009275851,0.006834408,0.003870944,0.007679152,0.005640969,0.001468893,0.003046041,0.00014794,0.003893996
0.099520879,0.000256842,0.002175043,0.034795918,0.000315085,0.015659261,0.040123962,0.00412523,0.00218841,1.46E-05,0.007329552,0.021625353,0.000439926,0.000548774,0.001362983,0.029988003,0.002781344,0.004150771,0.016400189,0.004158171,0.001216898,0.01087259,0.009708446,0.012386193,8.88E-05,0.007087748,0.000260423,0.010666592,0.016631013,0.011804718,0.003012406,0.013402343,0.01049043,0.006918986,0.002968724,5.99E-05,0.001599535
0.164617983,5.15E-05,7.69E-05,0.014109129,2.13E-05,0.000248675,0.00803958,0.00597407,0.000534915,0.00019174,0.211300999,0.003327276,0.001332789,7.90E-05,0.00028311,0.001648768,0.003232384,0.001294245,0.003955322,0.002041835,0.000190762,0.004949435,0.001652094,0.008200211,8.33E-05,0.001492246,6.50E-05,0.004861979,0.001813704,0.002433141,0.000987265,0.009208607,0.007462208,0.001038722,0.000757177,0.000180783,0.000538242
0.477352929,3.64E-05,2.89E-05,0.004071618,9.81E-06,8.34E-05,0.002489625,0.000303918,0.000203844,1.42E-06,0.000275061,0.001951301,0.00010576,2.54E-05,0.000894838,0.000414937,0.152772895,0.002787714,0.000723404,0.001170041,2.94E-05,0.001032013,0.000470092,0.001235004,3.72E-05,0.001837296,1.63E-05,0.000814665,0.000820919,0.001036846,0.00259112,0.00053804,0.000905499,0.000413232,0.002233612,7.68E-06,0.006858764
0.073220542,0.000217282,0.00318503,0.017000728,0.001365831,0.001571666,0.010057722,0.034868949,0.001026519,0.000551483,0.119274912,0.008428414,0.002003777,0.000119781,0.00041024,0.004686994,0.002491486,0.001440029,0.007774115,0.003195046,0.000415963,0.005043885,0.004676365,0.013567551,0.00011508,0.002946899,0.000206653,0.004895283,0.004523266,0.004441505,0.002064076,0.025702022,0.00646286,0.002676063,0.000874647,0.000142674,0.000977667
0.128525295,0.000193035,0.001031857,0.012958902,0.000387879,0.000964498,0.010928416,0.023253964,0.000929688,0.000192583,0.087936361,0.009773369,0.001073448,0.000107367,0.000400537,0.005333559,0.002202048,0.001704994,0.008694949,0.002555795,0.000393756,0.004561644,0.005492689,0.007536285,0.000103073,0.003152758,0.000191905,0.004889623,0.003706322,0.003842622,0.00174455,0.020203826,0.006359313,0.003006286,0.00087996,0.000109176,0.000819835
0.172073626,8.39E-05,0.001211988,0.017097205,0.000245857,0.000810814,0.013500254,0.021300519,0.003098244,0.000123665,0.115281873,0.006615881,0.000675003,0.00017372,0.000397678,0.00376055,0.002163213,0.001630829,0.008489439,0.002621435,0.001441467,0.0048693,0.004878869,0.009621744,6.90E-05,0.002581686,0.000161206,0.004830655,0.004817037,0.009072614,0.001629357,0.038676154,0.008276522,0.00221198,0.000924541,0.000139307,0.000760575
0.056514018,0.032380311,0.030034631,0.034924001,0.025210272,0.019549871,0.032569057,0.00579919,0.073568006,0.009526141,0.012172393,0.012434255,0.009985352,0.000474099,0.000886826,0.010082289,0.002674704,0.010141675,0.011354713,0.006338464,0.039489806,0.008469262,0.005330384,0.007619656,0.012260893,0.005795716,0.012558321,0.007827095,0.007174837,0.006448139,0.003251364,0.005704568,0.006782456,0.004543308,0.002240803,0.000109013,0.001392686
0.067260524,0.044193894,0.048077912,0.03536594,0.038791498,0.006742706,0.039374061,0.004962832,0.02604718,0.005358199,0.004231986,0.01284296,0.014873923,0.000574076,0.000944142,0.010930656,0.002151703,0.012681386,0.013650829,0.009912212,0.015443194,0.011078779,0.005031208,0.008650527,0.011807062,0.005730828,0.012295787,0.010475719,0.008587274,0.00785819,0.00251104,0.006838145,0.007373949,0.005066918,0.002415441,4.80E-05,0.001280581
0.065094997,0.005373602,0.077598606,0.031462266,0.048420947,0.015734118,0.028175414,0.014225508,0.056299289,0.010766277,0.010415258,0.014524843,0.011904067,0.00033413,0.00092319,0.010065112,0.002677993,0.015564942,0.011774637,0.00587225,0.035983727,0.008824681,0.007355818,0.006976845,0.002925206,0.005982025,0.003084191,0.009270334,0.006293298,0.006167507,0.002599665,0.006004737,0.006550411,0.005186664,0.002471837,7.77E-05,0.001456197
0.038326328,0.005039536,0.052527314,0.025817422,0.047698209,0.040040197,0.014206835,0.008330838,0.009865131,0.017213857,0.026212402,0.012536544,0.014300864,0.000150622,0.000573971,0.008243974,0.002567587,0.009012583,0.006861326,0.005866346,0.007748532,0.004820769,0.004948724,0.004485892,0.074199863,0.004628909,0.093797636,0.004737708,0.005815895,0.004381042,0.001826762,0.007637832,0.004177922,0.004305146,0.001571583,0.000184987,0.001274581
0.063895812,0.04844375,0.063558501,0.035934019,0.045476531,0.003532536,0.040870449,0.003539324,0.039056839,0.005107348,0.003868977,0.010585251,0.016559373,0.000584985,0.000957976,0.008264283,0.002196696,0.01305921,0.011905079,0.010695948,0.028118787,0.010249507,0.003850353,0.00822077,0.004593724,0.00445605,0.004417585,0.009366025,0.00889748,0.007838381,0.002883675,0.007104582,0.007279155,0.003885163,0.002365699,5.08E-05,0.001180239
0.055823665,0.126582753,0.038710402,0.035341992,0.036095992,0.011673031,0.030696513,0.014343495,0.052904627,0.008101952,0.005772498,0.009048317,0.018791301,0.000396127,0.000746193,0.006768672,0.002348815,0.012072594,0.009035982,0.006049647,0.034682769,0.008477937,0.003597936,0.008393153,0.001328284,0.004278238,0.001606681,0.007871802,0.006588174,0.006437499,0.002195329,0.007428832,0.007634,0.003748298,0.0019886,5.70E-05,0.001261456
0.060467547,0.051624634,0.061531439,0.029021098,0.038405711,0.035491953,0.024017865,0.01356837,0.006685302,0.017847121,0.01196617,0.01276416,0.012264586,0.000260106,0.000754026,0.009278592,0.002480624,0.013055225,0.00902937,0.005731248,0.00366425,0.00682935,0.00540866,0.009417551,0.039856794,0.005631871,0.04090132,0.006623103,0.007598219,0.005741709,0.001873332,0.009425891,0.00847099,0.00447991,0.002008616,9.63E-05,0.001254731
0.044863367,0.000482257,0.09989788,0.02672579,0.048090063,0.036237877,0.02337976,0.009383692,0.001708997,0.017194289,0.025761017,0.015965996,0.022115744,0.000309079,0.000907306,0.010156391,0.003879024,0.005774142,0.009670768,0.009393011,0.000242293,0.006805183,0.010213858,0.004640333,0.016821789,0.006383758,0.016966233,0.005785014,0.005284119,0.005089197,0.003158357,0.00901611,0.004324782,0.00637185,0.001699678,0.000164118,0.001704078
0.076513503,0.04181776,0.027765016,0.03729751,0.026747559,0.004655395,0.035455866,0.001928741,0.020025399,0.002776502,0.008066413,0.013892765,0.007673215,0.000481195,0.001007559,0.010968882,0.002247079,0.009810162,0.014095753,0.005174561,0.013222439,0.010754018,0.00576013,0.007053455,0.013665304,0.005895994,0.013677721,0.01085857,0.01074358,0.008868465,0.003421275,0.007809259,0.006158906,0.005104739,0.002656833,6.57E-05,0.0013142
0.028585503,0.004465504,0.022052513,0.015063197,0.014244324,0.0622671,0.005807986,0.006222984,0.001537094,0.004983958,0.026833358,0.018081679,0.00511165,6.54E-05,0.000454156,0.0108349,0.001758384,0.004173133,0.007268031,0.003464408,7.96E-05,0.003339248,0.006245864,0.001505985,0.199128712,0.005696843,0.200457357,0.003391519,0.002944236,0.002410137,0.001190554,0.006815413,0.001388331,0.005176219,0.001317613,0.000132756,0.000854413
0.058137321,0.162432889,0.042951094,0.03159542,0.036363672,0.010697436,0.032409967,0.009421298,0.032408592,0.006685974,0.006836323,0.010470383,0.015127554,0.000430574,0.000720425,0.007602587,0.00232446,0.012450903,0.010395361,0.005517861,0.017177596,0.00929402,0.00388174,0.006197032,0.003436039,0.004548687,0.003617558,0.008733876,0.009177743,0.007155511,0.002549526,0.007154594,0.005573631,0.003593875,0.00191711,5.45E-05,0.001099813
0.06725939,0.064159166,0.029240786,0.035397663,0.0231526,0.00967064,0.035489302,0.005298788,0.06635773,0.003325058,0.00440643,0.012415162,0.009309821,0.000517583,0.000928176,0.009607222,0.001950006,0.010443448,0.012358566,0.005246998,0.037681819,0.010131162,0.006027094,0.01359236,0.003659672,0.006531652,0.003073244,0.009623038,0.008977532,0.007720479,0.002731342,0.006628253,0.006969845,0.004603819,0.005428261,4.98E-05,0.0011941
0.055418197,0.049665215,0.059476329,0.033605916,0.045124263,0.017395308,0.026714493,0.010634128,0.079367011,0.019760156,0.004955732,0.017357019,0.023288354,0.000293933,0.000798816,0.011377288,0.00236684,0.014826487,0.012301506,0.005442964,0.023954935,0.007795143,0.005358129,0.005351866,0.001457568,0.005901728,0.003147579,0.008174481,0.006184132,0.005633843,0.002346059,0.006054887,0.005085974,0.004560167,0.002219375,6.09E-05,0.001209611
0.040295349,0.000264566,0.178813554,0.029540157,0.040548438,0.040253719,0.021104976,0.056588336,0.001864412,0.004369813,0.021116842,0.013722417,0.008230726,0.000241222,0.000815097,0.010528755,0.003827064,0.012956926,0.008002149,0.007657435,0.000271569,0.005542269,0.007357464,0.007299493,0.003467371,0.005555497,0.003720849,0.005063716,0.005386058,0.009525738,0.002066727,0.012072186,0.00738003,0.004669396,0.001896316,0.00012742,0.001810526
0.053491257,0.025887014,0.047377506,0.035080546,0.080152649,0.004827717,0.033457569,0.009164305,0.046567002,0.020952072,0.00708156,0.008134755,0.011089086,0.000429882,0.000710012,0.006511614,0.002317061,0.014855563,0.00903442,0.005949713,0.043804788,0.008542141,0.003323458,0.008960694,0.002943165,0.003747265,0.002819028,0.007786153,0.008844931,0.012340637,0.001840874,0.007104549,0.008278596,0.00293709,0.002453842,6.40E-05,0.001166987
0.051442944,0.016414423,0.051586631,0.034794261,0.105925885,0.003296056,0.030169712,0.013879787,0.053235043,0.029381735,0.006122826,0.006854771,0.012855401,0.000370885,0.000724577,0.005130371,0.002380203,0.015238982,0.007259275,0.006143089,0.049067499,0.007823892,0.002826002,0.007940561,0.000772626,0.00313625,0.000772319,0.007179142,0.007081201,0.008332785,0.001834929,0.00618899,0.007402809,0.002549988,0.002278732,7.28E-05,0.001194016
0.043581721,0.000443273,0.063177028,0.032758405,0.025286293,0.019636932,0.033728567,0.009089293,0.002857908,0.010542528,0.056901096,0.01120123,0.016742876,0.000575087,0.001078972,0.006612585,0.004971671,0.006039689,0.008230861,0.010039372,0.000313285,0.008516031,0.007128886,0.008514571,0.000238798,0.004456466,0.000619633,0.006518746,0.003006882,0.005298101,0.003649519,0.00468358,0.008466373,0.006151786,0.001829324,0.000153722,0.002290854
0.059044129,0.043904077,0.025752436,0.033105854,0.031886731,0.015399912,0.032136569,0.006258247,0.03307069,0.012398344,0.008170797,0.012109827,0.012949358,0.000440249,0.000904409,0.010019876,0.002873923,0.00884084,0.011220714,0.006303608,0.020722982,0.008814819,0.005036838,0.006434944,0.024521885,0.005837514,0.023581082,0.008165522,0.007718065,0.006714671,0.003370082,0.005614577,0.005648861,0.004949105,0.001996415,0.000101271,0.001531552
0.054055395,0.246148868,0.015171036,0.02933463,0.014152348,0.008700721,0.031864786,0.003829769,0.054116519,0.001928454,0.007172749,0.009248145,0.010031874,0.000425788,0.000681285,0.006737793,0.001656942,0.005549914,0.008906708,0.003699576,0.047271393,0.007709905,0.003672315,0.006808941,0.00372916,0.003754832,0.003855686,0.007403308,0.007947921,0.006312616,0.003957518,0.006264206,0.006069832,0.003561314,0.002104002,4.46E-05,0.000934949
0.038775974,0.224721351,0.024797228,0.024461793,0.020873306,0.011999204,0.021923844,0.006203179,0.014808962,0.001952752,0.00450298,0.010426258,0.007837798,0.000280599,0.000561338,0.007846728,0.001620247,0.007165672,0.008495134,0.004015734,0.011095175,0.00599402,0.003801692,0.004750231,0.036155701,0.004287124,0.037911154,0.006252434,0.006020113,0.004775905,0.001988751,0.00436582,0.004206614,0.003628533,0.001328206,4.90E-05,0.000898587
0.060366091,0.008695496,0.046218184,0.036374007,0.023434349,0.047034227,0.029695687,0.007544971,0.004361191,0.010814414,0.019451132,0.015244663,0.032860752,0.000455729,0.000976563,0.010884263,0.004362509,0.010309922,0.01044593,0.008764027,0.001938102,0.008357323,0.008195222,0.005768443,0.001526918,0.006358862,0.001840841,0.007219977,0.008534976,0.012528473,0.003169547,0.007142221,0.005516988,0.005741822,0.002220659,0.000118874,0.002042743
0.046457695,0.000609666,0.097428211,0.02744652,0.052062476,0.051570986,0.021375098,0.022013917,0.001905109,0.011489546,0.069757859,0.018846823,0.016485247,0.000283115,0.000821171,0.01245159,0.003472319,0.007858354,0.011187061,0.007300341,0.000483663,0.005880265,0.011324607,0.004007048,0.001255137,0.00758913,0.001979263,0.00544356,0.005675413,0.004584235,0.002268835,0.006189011,0.003923894,0.006994334,0.001718648,0.000234397,0.001685778
0.075223755,0.048033589,0.021109118,0.032376933,0.020151271,0.004321577,0.036352266,0.001809247,0.022456258,0.003070121,0.005469446,0.013866579,0.006748312,0.000497926,0.001003082,0.011300102,0.00209613,0.008480205,0.014603967,0.005058796,0.01535363,0.011109575,0.005682506,0.00728172,0.019797796,0.005966194,0.019187539,0.01125268,0.011090069,0.008889005,0.003187161,0.007707841,0.006352629,0.004909805,0.002665356,6.04E-05,0.001235649
0.054660193,0.012789856,0.06165546,0.034634086,0.050934362,0.025840848,0.028686406,0.0100581,0.038656784,0.019023057,0.014925507,0.013327537,0.017589186,0.000443692,0.000991703,0.009567837,0.003588997,0.014034227,0.010137355,0.008112797,0.020915185,0.00792736,0.005832861,0.014828809,0.006094843,0.005581887,0.005784936,0.007043701,0.006118552,0.005962243,0.003946661,0.005330744,0.006415927,0.004948017,0.002157666,0.00014039,0.001839122
0.053313712,0.000223854,0.094140734,0.02566943,0.027036129,0.057874129,0.016720188,0.012183892,0.001552179,0.006863285,0.05652881,0.027395393,0.01792425,0.000231164,0.000931234,0.017927905,0.003571254,0.007075261,0.01572664,0.006632669,0.000221662,0.006115519,0.016747598,0.003618766,0.004017318,0.010420651,0.004285213,0.006794392,0.005613537,0.004958603,0.002891833,0.010151112,0.003568331,0.009588095,0.001573742,0.000200647,0.001687771
0.060388641,0.016419332,0.082636961,0.035405526,0.051757621,0.020597006,0.031128918,0.011700079,0.029939619,0.016211057,0.005936888,0.012378855,0.018950814,0.000373327,0.000887371,0.008749645,0.00288864,0.016726222,0.010102074,0.006378252,0.017340322,0.008546012,0.005689551,0.008389926,0.001718712,0.005340397,0.00198558,0.008002351,0.007110978,0.007393534,0.002379718,0.007200307,0.007701705,0.004662422,0.003044886,7.72E-05,0.001510917
0.04118073,0.000947357,0.178847189,0.03061848,0.072612561,0.024038455,0.016518173,0.010664086,0.001871196,0.018859054,0.016211336,0.012333164,0.045236171,0.000203005,0.000933601,0.007980648,0.004857699,0.015307687,0.008131515,0.009187141,0.000279992,0.005891582,0.007175284,0.004015062,0.000894331,0.004912056,0.001053407,0.005550135,0.003494348,0.004351407,0.002147638,0.004813326,0.003993985,0.004393339,0.00141327,0.000118475,0.002133882
0.057099048,0.010371511,0.040362185,0.035758023,0.083107564,0.002941436,0.032380952,0.007465209,0.046919835,0.019780954,0.005556399,0.007037238,0.010007012,0.000438237,0.000757191,0.005303086,0.001976331,0.014928683,0.008203894,0.005371619,0.048741894,0.008451134,0.003340924,0.010228516,0.000218179,0.003186507,0.000307098,0.007659531,0.008508823,0.007730812,0.002091421,0.007049094,0.009330644,0.002703594,0.002363674,5.57E-05,0.001100002
0.062229757,0.020755545,0.041186338,0.030151439,0.033403999,0.009105125,0.041190148,0.004728045,0.077354776,0.007982433,0.003644976,0.010521176,0.016506477,0.000592511,0.000863163,0.008552237,0.001987227,0.012687619,0.010583048,0.005189344,0.056035827,0.009598122,0.004415026,0.007679168,0.001248265,0.004840817,0.001128635,0.008741968,0.009280988,0.008024799,0.002873706,0.007799255,0.00690165,0.004239925,0.002418656,5.09E-05,0.001129854
0.030621533,0.037293004,0.049682877,0.027086875,0.061115487,0.065857742,0.012118768,0.009808283,0.002058894,0.023706865,0.017017349,0.014663428,0.015148565,0.000136602,0.000586277,0.010100582,0.003236274,0.006881724,0.00707687,0.007234875,0.00055753,0.004297406,0.006280759,0.003353781,0.073188511,0.005379941,0.087599299,0.00389998,0.002500175,0.002978807,0.002221725,0.005473527,0.003108275,0.004783172,0.001205498,0.000168077,0.001475135
0.030352341,0.00414639,0.087040421,0.027149974,0.089071898,0.049587005,0.01276976,0.01181944,0.008498131,0.030640953,0.01223819,0.011676709,0.016645379,0.000156025,0.000581597,0.008442682,0.003193621,0.00938758,0.006300483,0.008977576,0.006076765,0.003942962,0.005423278,0.005975664,0.064643795,0.004721864,0.078788572,0.003716795,0.002984246,0.002993517,0.001610104,0.005054904,0.005480126,0.004499021,0.001239282,0.000153926,0.001451105
0.049393838,0.031462841,0.043788458,0.030151694,0.033961803,0.029915104,0.024148002,0.006471314,0.007740597,0.006979062,0.011351637,0.012568634,0.016390903,0.000340467,0.000837098,0.009885716,0.003225582,0.012089895,0.009448493,0.00599987,0.002398559,0.007135746,0.005984584,0.005534681,0.046558056,0.005438273,0.040647993,0.006361878,0.006417464,0.005986495,0.002437295,0.005196298,0.004788605,0.004694629,0.002099955,9.41E-05,0.001691046
